               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.043694,            0.019379,           0.0036203,              0.5922,             0.49814,             0.54312,             0.24297,            0.047714,            0.011589,           0.0049706,            0.006535,            0.006535,            0.006535
                  37,            0.043751,            0.019633,           0.0033426,             0.70114,             0.57932,             0.64312,             0.30429,            0.045178,            0.011122,           0.0049782,            0.006436,            0.006436,            0.006436
                  38,            0.043089,            0.019215,           0.0036305,             0.58166,             0.55049,              0.6003,             0.27603,            0.045057,            0.011084,           0.0040927,            0.006337,            0.006337,            0.006337
                  39,             0.04224,            0.019686,           0.0033335,             0.66696,             0.56637,             0.63744,             0.30081,            0.044679,            0.010878,            0.004079,            0.006238,            0.006238,            0.006238
                  40,             0.04228,            0.019183,           0.0033741,             0.67152,             0.59064,             0.64599,             0.30498,            0.044031,            0.010891,           0.0028443,            0.006139,            0.006139,            0.006139
                  41,            0.041974,            0.018784,            0.003187,             0.71947,             0.60989,             0.67833,             0.32071,            0.043908,            0.010755,           0.0042468,             0.00604,             0.00604,             0.00604
                  42,            0.041696,            0.018872,           0.0037106,             0.66015,             0.53317,             0.61737,             0.29173,            0.044754,            0.011059,           0.0039172,            0.005941,            0.005941,            0.005941
                  43,            0.041179,            0.018792,           0.0032851,             0.68244,             0.57988,             0.63959,             0.32103,            0.043147,            0.010818,           0.0045781,            0.005842,            0.005842,            0.005842
                  44,            0.041003,            0.018819,           0.0031632,             0.67856,             0.59337,             0.64152,             0.31993,            0.043166,            0.011107,           0.0055871,            0.005743,            0.005743,            0.005743
                  45,            0.041228,            0.018774,           0.0037013,             0.72977,             0.61967,             0.68493,             0.31718,            0.043783,            0.010717,           0.0032019,            0.005644,            0.005644,            0.005644
                  46,            0.040247,            0.018533,           0.0029527,             0.73639,             0.60903,             0.69703,             0.33991,            0.042998,            0.010486,           0.0043951,            0.005545,            0.005545,            0.005545
                  47,            0.039985,            0.018434,           0.0032794,             0.70878,             0.62462,             0.68054,             0.33376,            0.043459,            0.010657,           0.0047265,            0.005446,            0.005446,            0.005446
                  48,            0.039685,            0.018167,           0.0031892,              0.7199,             0.64117,             0.68757,             0.34045,            0.042425,            0.010537,           0.0038994,            0.005347,            0.005347,            0.005347
                  49,            0.040082,            0.018219,           0.0029253,             0.70096,              0.6631,             0.70461,             0.35494,             0.04192,            0.010382,           0.0030026,            0.005248,            0.005248,            0.005248
                  50,            0.038585,            0.018183,           0.0027603,             0.66714,             0.63397,             0.68935,             0.35561,             0.04258,            0.010293,           0.0033067,            0.005149,            0.005149,            0.005149
                  51,            0.038733,            0.018091,           0.0027486,             0.71599,             0.60693,             0.69108,             0.34371,            0.042938,            0.010325,           0.0047211,             0.00505,             0.00505,             0.00505
                  52,            0.038453,            0.018107,           0.0028114,              0.7122,             0.63546,             0.69245,             0.35402,            0.041309,            0.010369,           0.0026535,            0.004951,            0.004951,            0.004951
                  53,            0.037828,            0.017466,           0.0024365,             0.72603,             0.64984,             0.70283,             0.35468,            0.041888,            0.010268,           0.0032305,            0.004852,            0.004852,            0.004852
                  54,            0.037896,            0.017652,           0.0025605,             0.73164,             0.63176,             0.69923,             0.35116,            0.042534,             0.01026,           0.0023034,            0.004753,            0.004753,            0.004753
                  55,            0.037678,            0.017224,           0.0027603,             0.74824,             0.64603,             0.71833,             0.36385,            0.042124,            0.010226,           0.0026796,            0.004654,            0.004654,            0.004654
                  56,            0.037629,            0.017245,           0.0028469,             0.71289,             0.64264,             0.69425,             0.36179,            0.042321,            0.010441,           0.0026804,            0.004555,            0.004555,            0.004555
                  57,            0.036954,            0.017454,           0.0026421,             0.73828,             0.67385,             0.71956,             0.37162,            0.041551,            0.010105,           0.0033932,            0.004456,            0.004456,            0.004456
                  58,            0.036333,             0.01711,           0.0025539,             0.73617,             0.65604,             0.70909,             0.37221,            0.042285,            0.010042,           0.0038098,            0.004357,            0.004357,            0.004357
                  59,            0.036814,            0.017259,           0.0027633,             0.72578,             0.61866,             0.68796,              0.3595,             0.04177,            0.010241,           0.0025602,            0.004258,            0.004258,            0.004258
                  60,            0.036411,            0.017155,           0.0022457,             0.71246,             0.62828,             0.69819,             0.36231,            0.041021,             0.01008,            0.002591,            0.004159,            0.004159,            0.004159
                  61,            0.036088,            0.016937,           0.0020873,             0.71216,             0.65141,             0.71742,             0.37799,            0.041295,           0.0099914,           0.0032368,             0.00406,             0.00406,             0.00406
                  62,             0.03576,            0.017011,           0.0020136,             0.70564,             0.64558,             0.70668,              0.3594,            0.041584,            0.010045,           0.0040858,            0.003961,            0.003961,            0.003961
                  63,            0.035411,            0.016437,           0.0020919,             0.73286,             0.67506,             0.71986,             0.38377,            0.040327,                0.01,            0.003627,            0.003862,            0.003862,            0.003862
                  64,            0.034968,            0.016797,           0.0021346,             0.71845,             0.67034,              0.7148,             0.37833,            0.040957,           0.0099038,           0.0029802,            0.003763,            0.003763,            0.003763
                  65,            0.034534,            0.016856,           0.0022077,              0.7483,             0.68323,             0.73588,             0.39326,            0.040466,           0.0098563,           0.0039251,            0.003664,            0.003664,            0.003664
                  66,            0.034687,             0.01663,           0.0020817,             0.74702,             0.67266,             0.72783,             0.38554,            0.041467,           0.0098736,           0.0028817,            0.003565,            0.003565,            0.003565
                  67,            0.034217,             0.01636,           0.0021073,             0.71623,             0.65214,             0.70552,             0.37732,            0.039805,            0.010001,           0.0029327,            0.003466,            0.003466,            0.003466
                  68,            0.033631,            0.016328,           0.0018834,             0.77139,             0.67902,             0.75177,             0.38756,            0.039996,           0.0097618,           0.0026378,            0.003367,            0.003367,            0.003367
                  69,            0.034028,            0.015953,           0.0019432,             0.79244,              0.6552,             0.73954,             0.39864,            0.040216,           0.0099132,           0.0028827,            0.003268,            0.003268,            0.003268
                  70,            0.034159,            0.016138,           0.0020797,             0.72065,             0.68672,             0.73643,             0.38961,            0.040137,           0.0098569,           0.0027455,            0.003169,            0.003169,            0.003169
                  71,             0.03345,            0.016087,            0.001924,             0.77532,             0.65839,             0.74326,             0.39475,            0.040451,           0.0097828,           0.0031957,             0.00307,             0.00307,             0.00307
                  72,            0.033359,            0.016296,           0.0020359,             0.75327,             0.70274,             0.73917,             0.39912,            0.039614,           0.0098752,           0.0021135,            0.002971,            0.002971,            0.002971
                  73,            0.033552,            0.015959,           0.0017779,               0.747,             0.69156,             0.74203,             0.40294,             0.04041,           0.0098913,           0.0033301,            0.002872,            0.002872,            0.002872
                  74,            0.032584,            0.015746,            0.001575,             0.77552,             0.68849,             0.74931,             0.40795,            0.039601,           0.0096945,           0.0031857,            0.002773,            0.002773,            0.002773
                  75,            0.032937,            0.016104,           0.0020546,             0.70801,             0.70329,             0.74668,             0.40799,             0.03907,            0.009806,            0.002886,            0.002674,            0.002674,            0.002674
                  76,            0.032664,            0.015764,           0.0018308,             0.75874,             0.70906,             0.74817,             0.41638,            0.039586,           0.0095964,           0.0046892,            0.002575,            0.002575,            0.002575
                  77,            0.032268,            0.016174,           0.0018573,             0.74137,             0.68486,             0.73591,             0.40568,            0.039314,           0.0097585,           0.0044528,            0.002476,            0.002476,            0.002476
                  78,            0.031868,            0.015632,           0.0018981,             0.76947,             0.69207,             0.75319,             0.41662,            0.039231,           0.0095757,           0.0027123,            0.002377,            0.002377,            0.002377
                  79,            0.031636,            0.015641,           0.0016636,             0.76266,             0.70407,             0.74716,             0.41039,            0.039478,           0.0097944,           0.0036959,            0.002278,            0.002278,            0.002278
                  80,            0.031528,            0.015568,           0.0017032,             0.77528,             0.72277,              0.7615,              0.4134,            0.038663,           0.0097322,           0.0022218,            0.002179,            0.002179,            0.002179
                  81,              0.0312,            0.015169,           0.0016699,             0.77943,             0.72689,             0.77055,             0.42527,            0.038935,           0.0094811,            0.003031,             0.00208,             0.00208,             0.00208
                  82,            0.031147,            0.015158,           0.0014753,              0.7887,             0.71128,             0.76156,             0.43086,            0.038635,           0.0095669,           0.0031137,            0.001981,            0.001981,            0.001981
                  83,            0.030775,            0.014885,           0.0016145,             0.79628,              0.7111,             0.76086,             0.42897,            0.039125,           0.0095832,           0.0026702,            0.001882,            0.001882,            0.001882
                  84,            0.030702,            0.015046,           0.0014597,              0.7816,             0.72676,             0.76476,             0.43085,            0.038669,           0.0095746,           0.0024684,            0.001783,            0.001783,            0.001783
                  85,            0.030544,            0.014778,           0.0015856,             0.78545,             0.72684,              0.7776,             0.42813,              0.0393,           0.0096331,           0.0035081,            0.001684,            0.001684,            0.001684
                  86,            0.030089,            0.014996,           0.0014003,             0.76468,              0.7293,             0.76698,               0.427,            0.039077,           0.0095426,           0.0030141,            0.001585,            0.001585,            0.001585
                  87,            0.030095,            0.014885,           0.0012821,             0.77165,             0.73409,             0.76353,              0.4276,            0.038623,           0.0094865,           0.0027421,            0.001486,            0.001486,            0.001486
                  88,            0.029787,            0.014821,           0.0016029,             0.77614,             0.73409,             0.77597,              0.4356,            0.038934,           0.0094075,             0.00289,            0.001387,            0.001387,            0.001387
                  89,            0.029624,             0.01476,           0.0015515,              0.7867,             0.73725,              0.7728,             0.43375,            0.038916,           0.0094947,           0.0028866,            0.001288,            0.001288,            0.001288
                  90,             0.02964,             0.01494,           0.0015609,             0.75816,             0.75186,             0.77168,             0.43324,            0.038399,           0.0095135,            0.002778,            0.001189,            0.001189,            0.001189
                  91,            0.029228,            0.014777,            0.001349,             0.77206,             0.75804,             0.78381,             0.44084,            0.038609,           0.0094159,           0.0031983,             0.00109,             0.00109,             0.00109
                  92,            0.029051,            0.014954,           0.0014967,              0.7959,             0.74738,             0.79141,             0.44513,            0.038438,           0.0094516,           0.0028881,            0.000991,            0.000991,            0.000991
                  93,            0.028631,            0.014507,           0.0015067,              0.7922,             0.71961,             0.77696,             0.43319,            0.038475,           0.0095264,           0.0031412,            0.000892,            0.000892,            0.000892
                  94,            0.028782,            0.014599,           0.0014037,             0.81847,             0.72344,             0.78335,             0.43947,            0.038638,           0.0095796,           0.0033204,            0.000793,            0.000793,            0.000793
                  95,            0.028678,            0.014523,           0.0012942,             0.77298,             0.74576,             0.78083,             0.44266,            0.038387,            0.009482,           0.0029192,            0.000694,            0.000694,            0.000694
                  96,            0.028494,            0.014426,           0.0014733,             0.80668,             0.73318,              0.7809,             0.44565,            0.038542,           0.0094767,            0.003337,            0.000595,            0.000595,            0.000595
                  97,            0.028319,            0.014375,           0.0013333,             0.79298,             0.74546,             0.77597,             0.44342,            0.038196,           0.0094875,           0.0029283,            0.000496,            0.000496,            0.000496
                  98,            0.028246,            0.014286,           0.0012666,             0.80587,             0.74489,             0.78228,             0.44279,            0.038286,           0.0094942,           0.0027759,            0.000397,            0.000397,            0.000397
                  99,            0.027498,            0.014399,           0.0012101,             0.80343,              0.7401,             0.77976,             0.44212,            0.038233,           0.0095282,           0.0029115,            0.000298,            0.000298,            0.000298
