                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0511,                0.90865,                 1.2987,                 0.8105,                0.81586,                0.84613,                0.55913,                 1.2015,                0.92632,                 1.4535,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0525,                0.92421,                 1.3158,                0.82783,                0.81835,                0.84521,                0.55259,                 1.2129,                0.92698,                 1.4716,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0217,                0.89193,                 1.2814,                0.84882,                0.80444,                0.86374,                 0.5574,                 1.2145,                0.88836,                 1.4765,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0207,                0.87771,                 1.2868,                0.82682,                0.82805,                0.85886,                0.58614,                 1.1417,                0.87134,                 1.4209,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0042,                0.86516,                 1.2702,                0.84364,                0.79758,                0.85894,                0.57045,                 1.2169,                0.90329,                 1.4667,              0.0010564,              0.0010564,              0.0010564
                     39,                0.98786,                0.85188,                 1.2637,                  0.847,                0.82536,                0.85609,                0.56792,                 1.2075,                0.87541,                 1.4607,              0.0010399,              0.0010399,              0.0010399
                     40,                0.99581,                0.84489,                 1.2653,                0.84137,                0.82859,                0.86404,                0.57351,                 1.1894,                0.86148,                 1.4546,              0.0010234,              0.0010234,              0.0010234
                     41,                0.99311,                0.84844,                 1.2606,                0.87145,                0.81734,                0.85589,                0.56246,                 1.1982,                0.85656,                 1.4491,              0.0010069,              0.0010069,              0.0010069
                     42,                0.97452,                0.82766,                   1.25,                0.84156,                0.80588,                0.85151,                0.56983,                 1.1965,                 0.8703,                 1.4559,             0.00099036,             0.00099036,             0.00099036
                     43,                0.97901,                0.81044,                 1.2509,                0.84259,                0.85564,                0.87342,                0.58409,                  1.185,                0.82591,                 1.4419,             0.00097386,             0.00097386,             0.00097386
                     44,                0.98091,                0.83238,                 1.2597,                0.86717,                0.81761,                0.87026,                0.57397,                 1.1936,                0.81034,                 1.4589,             0.00095736,             0.00095736,             0.00095736
                     45,                0.96986,                0.81703,                 1.2517,                0.84423,                0.84219,                0.87405,                0.59519,                 1.1679,                0.82642,                 1.4243,             0.00094085,             0.00094085,             0.00094085
                     46,                0.95184,                0.77565,                 1.2282,                 0.8537,                0.85315,                0.88214,                0.58561,                   1.16,                0.77974,                 1.4242,             0.00092435,             0.00092435,             0.00092435
