                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     33,                 1.1197,                 1.1368,                 1.4619,                0.81664,                0.74852,                0.82003,                0.53404,                 1.2304,                 1.0287,                 1.6385,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0923,                 1.0862,                 1.4392,                0.83827,                0.71713,                0.81163,                 0.5414,                 1.1664,                 1.0169,                 1.5755,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0954,                 1.0794,                 1.4521,                0.81116,                0.74305,                0.82315,                0.55283,                 1.1515,                 1.0467,                  1.566,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0528,                 1.0429,                  1.412,                0.80209,                0.76629,                0.83302,                0.55193,                 1.1702,                 0.9911,                 1.5906,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0675,                 1.0264,                 1.4336,                0.81331,                0.78382,                0.83568,                0.55997,                 1.1605,                0.98957,                 1.5806,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0464,                 1.0101,                 1.4076,                 0.7981,                0.77767,                0.83006,                0.55851,                 1.1492,                0.97164,                 1.5624,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0305,                 0.9931,                 1.4007,                0.80894,                0.79417,                0.84664,                0.56934,                 1.1482,                0.96952,                 1.5614,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0309,                 1.0053,                 1.4075,                0.81482,                0.77617,                0.83004,                0.56866,                 1.1416,                0.95659,                 1.5659,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0203,                 0.9805,                 1.3882,                0.85822,                0.74979,                0.83459,                0.56202,                 1.1653,                0.93517,                 1.5631,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0052,                0.95483,                 1.3836,                0.81379,                0.80658,                0.84576,                0.57194,                 1.1605,                0.90947,                  1.585,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0062,                0.94855,                 1.3761,                0.81792,                0.79438,                 0.8473,                0.55992,                 1.1615,                0.89961,                 1.5867,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0163,                0.96588,                  1.385,                0.79285,                0.81626,                 0.8422,                0.56746,                 1.1755,                0.90128,                 1.5894,             0.00095736,             0.00095736,             0.00095736
                     45,                0.99465,                0.93902,                 1.3733,                0.85598,                0.78935,                0.85631,                0.58654,                 1.1458,                0.89167,                 1.5536,             0.00094085,             0.00094085,             0.00094085
                     46,                0.99524,                0.89185,                 1.3613,                0.85731,                0.76416,                0.84046,                0.56852,                 1.1701,                0.90845,                 1.5787,             0.00092435,             0.00092435,             0.00092435
                     47,                0.96598,                0.89361,                 1.3418,                0.83584,                0.80198,                0.85928,                0.58036,                 1.1361,                0.85157,                 1.5549,             0.00090785,             0.00090785,             0.00090785
                     48,                0.96044,                0.88611,                 1.3418,                0.82086,                0.80571,                0.85312,                0.57836,                 1.1614,                0.88937,                 1.5737,             0.00089134,             0.00089134,             0.00089134
                     49,                0.95877,                0.87191,                 1.3451,                0.83142,                0.79013,                0.85411,                0.58434,                 1.1241,                 0.8741,                   1.57,             0.00087484,             0.00087484,             0.00087484
                     50,                0.94487,                 0.8685,                 1.3258,                0.81266,                0.82693,                0.85501,                0.59604,                 1.1339,                 0.8457,                 1.5566,             0.00085834,             0.00085834,             0.00085834
                     51,                0.93425,                0.84263,                 1.3138,                0.83863,                  0.806,                0.86136,                0.58609,                 1.1355,                0.83316,                 1.5668,             0.00084184,             0.00084184,             0.00084184
                     52,                0.93577,                0.85069,                  1.324,                 0.8246,                0.80959,                  0.862,                0.58669,                  1.124,                0.82879,                 1.5508,             0.00082533,             0.00082533,             0.00082533
                     53,                0.91547,                  0.819,                 1.2953,                0.84189,                0.81569,                0.85712,                0.58101,                 1.1491,                0.86074,                 1.5833,             0.00080883,             0.00080883,             0.00080883
                     54,                0.91556,                0.81724,                  1.304,                0.85177,                0.80775,                0.85802,                0.59287,                 1.1289,                0.84391,                 1.5512,             0.00079233,             0.00079233,             0.00079233
                     55,                0.90612,                0.81015,                 1.2938,                0.85427,                0.79506,                0.85927,                0.58296,                 1.1147,                0.85534,                 1.5433,             0.00077582,             0.00077582,             0.00077582
                     56,                0.89579,                0.79678,                 1.2858,                 0.8442,                0.80985,                0.86449,                  0.588,                 1.1348,                0.83471,                 1.5634,             0.00075932,             0.00075932,             0.00075932
                     57,                0.88919,                0.78015,                 1.2765,                0.85462,                0.79303,                0.86358,                0.59928,                 1.1187,                0.80326,                 1.5596,             0.00074282,             0.00074282,             0.00074282
                     58,                0.87257,                0.77368,                  1.277,                0.86475,                0.81591,                0.87083,                0.61437,                 1.1074,                0.80949,                 1.5205,             0.00072631,             0.00072631,             0.00072631
                     59,                 0.8731,                0.76183,                  1.272,                0.86812,                0.80997,                0.87048,                0.59999,                 1.1332,                0.79833,                 1.5635,             0.00070981,             0.00070981,             0.00070981
                     60,                0.87506,                0.76239,                 1.2695,                0.85002,                0.79669,                0.86021,                0.59574,                 1.1102,                  0.812,                 1.5523,             0.00069331,             0.00069331,             0.00069331
                     61,                0.87211,                0.75534,                 1.2762,                0.83541,                0.82158,                0.86411,                0.60967,                 1.1153,                0.79659,                 1.5487,              0.0006768,              0.0006768,              0.0006768
                     62,                0.85731,                0.73185,                 1.2628,                0.84845,                0.81205,                0.86894,                0.60847,                 1.0975,                0.78394,                 1.5345,              0.0006603,              0.0006603,              0.0006603
                     63,                0.84223,                 0.7223,                 1.2423,                0.83213,                0.83707,                0.87387,                0.60951,                 1.1104,                0.77984,                 1.5385,              0.0006438,              0.0006438,              0.0006438
                     64,                0.82566,                0.70595,                 1.2324,                0.85819,                0.80581,                0.87822,                0.61528,                 1.0972,                0.76826,                 1.5222,             0.00062729,             0.00062729,             0.00062729
                     65,                0.81342,                0.71883,                 1.2231,                0.86565,                0.82185,                0.87546,                0.60772,                 1.1106,                0.77456,                 1.5425,             0.00061079,             0.00061079,             0.00061079
                     66,                0.83469,                0.70831,                 1.2488,                0.86004,                0.82669,                0.87363,                0.60663,                 1.1215,                 0.7842,                 1.5528,             0.00059429,             0.00059429,             0.00059429
                     67,                0.81944,                0.71296,                 1.2254,                 0.8428,                0.84339,                0.88068,                0.61185,                 1.1105,                0.75486,                 1.5461,             0.00057778,             0.00057778,             0.00057778
                     68,                 0.7952,                0.68986,                 1.2141,                0.86839,                0.80702,                0.87097,                0.59549,                 1.1543,                0.80624,                 1.5866,             0.00056128,             0.00056128,             0.00056128
                     69,                0.79996,                0.68411,                 1.2146,                0.87493,                0.80811,                0.86308,                0.59821,                 1.1546,                0.78174,                 1.5872,             0.00054478,             0.00054478,             0.00054478
                     70,                0.79223,                0.66752,                 1.2079,                0.86708,                0.84461,                0.87644,                0.60956,                 1.1329,                0.78389,                 1.5564,             0.00052827,             0.00052827,             0.00052827
                     71,                0.78802,                0.65434,                 1.2096,                 0.8559,                 0.8412,                0.87453,                0.60988,                 1.1142,                0.75632,                 1.5435,             0.00051177,             0.00051177,             0.00051177
                     72,                0.77064,                0.65062,                 1.1939,                0.87093,                0.80242,                0.87039,                0.60244,                 1.1033,                0.76971,                 1.5407,             0.00049527,             0.00049527,             0.00049527
                     73,                0.77006,                0.64386,                 1.1961,                0.86859,                0.81595,                 0.8792,                0.61533,                 1.0911,                0.75183,                 1.5266,             0.00047876,             0.00047876,             0.00047876
                     74,                0.76061,                0.63979,                 1.1894,                0.85001,                0.83042,                0.88288,                0.62008,                 1.1018,                0.75265,                 1.5333,             0.00046226,             0.00046226,             0.00046226
                     75,                0.77205,                0.64709,                  1.186,                0.87627,                0.83757,                0.88578,                0.61605,                 1.1054,                0.73696,                 1.5518,             0.00044576,             0.00044576,             0.00044576
                     76,                 0.7433,                0.61183,                 1.1721,                0.86227,                0.83432,                0.88205,                0.61189,                 1.1049,                0.75024,                 1.5463,             0.00042925,             0.00042925,             0.00042925
                     77,                0.74253,                0.62435,                 1.1683,                0.84652,                0.84229,                0.87513,                0.60965,                 1.1047,                0.74797,                 1.5546,             0.00041275,             0.00041275,             0.00041275
                     78,                0.73529,                0.60869,                 1.1636,                0.87704,                0.82919,                0.88676,                0.61909,                  1.093,                 0.7269,                 1.5357,             0.00039625,             0.00039625,             0.00039625
                     79,                0.72191,                0.60063,                 1.1562,                0.84261,                0.85799,                0.87946,                 0.6087,                  1.095,                0.75011,                 1.5435,             0.00037974,             0.00037974,             0.00037974
                     80,                0.72244,                0.59642,                 1.1612,                0.87467,                0.81652,                0.87655,                 0.6111,                 1.0969,                0.75455,                 1.5412,             0.00036324,             0.00036324,             0.00036324
                     81,                0.71484,                0.58803,                 1.1541,                0.84254,                0.84825,                0.88311,                0.62478,                 1.0874,                 0.7512,                 1.5334,             0.00034674,             0.00034674,             0.00034674
                     82,                0.70842,                0.57882,                 1.1454,                0.85803,                0.84382,                0.88029,                0.61389,                 1.1083,                0.75923,                  1.557,             0.00033023,             0.00033023,             0.00033023
                     83,                0.69826,                0.58066,                  1.142,                0.85615,                0.84612,                0.88093,                 0.6188,                 1.0836,                0.74071,                 1.5406,             0.00031373,             0.00031373,             0.00031373
                     84,                0.68346,                0.57374,                  1.131,                0.86289,                0.84238,                0.88284,                0.61064,                 1.1034,                0.75214,                 1.5644,             0.00029723,             0.00029723,             0.00029723
                     85,                0.68035,                0.55905,                 1.1256,                0.84228,                0.84484,                0.87072,                0.61038,                  1.088,                0.75072,                  1.555,             0.00028072,             0.00028072,             0.00028072
                     86,                0.67468,                0.55397,                 1.1276,                0.86748,                0.83316,                0.88271,                0.61106,                 1.0924,                 0.7464,                 1.5467,             0.00026422,             0.00026422,             0.00026422
                     87,                0.66666,                0.54453,                 1.1181,                 0.8597,                  0.834,                0.88177,                0.62551,                 1.0877,                0.73148,                 1.5525,             0.00024772,             0.00024772,             0.00024772
                     88,                0.66882,                0.54908,                 1.1249,                0.86031,                0.85089,                 0.8889,                0.62336,                 1.0838,                 0.7319,                 1.5527,             0.00023121,             0.00023121,             0.00023121
                     89,                0.65993,                0.53707,                 1.1128,                0.86354,                0.86163,                0.88619,                 0.6253,                 1.0912,                0.73349,                 1.5528,             0.00021471,             0.00021471,             0.00021471
                     90,                 0.5917,                0.39064,                 1.0634,                0.87611,                0.82323,                0.87704,                0.61514,                 1.1174,                0.74781,                 1.5909,             0.00019821,             0.00019821,             0.00019821
                     91,                0.56382,                0.36723,                 1.0482,                0.87629,                0.83282,                0.87344,                0.61603,                 1.1075,                0.74523,                  1.584,              0.0001817,              0.0001817,              0.0001817
                     92,                0.55998,                0.36022,                 1.0463,                 0.8842,                0.83643,                0.88215,                0.62939,                 1.0983,                0.74717,                 1.5769,              0.0001652,              0.0001652,              0.0001652
                     93,                 0.5576,                 0.3562,                 1.0453,                0.86682,                 0.8474,                0.88325,                0.62388,                 1.0979,                0.74208,                 1.5778,              0.0001487,              0.0001487,              0.0001487
                     94,                0.53739,                0.34135,                 1.0246,                0.88181,                0.82075,                0.88326,                0.63099,                 1.0987,                0.73226,                 1.5794,             0.00013219,             0.00013219,             0.00013219
                     95,                0.53197,                0.33693,                 1.0269,                0.84902,                0.86377,                0.88661,                0.63113,                 1.0935,                0.73273,                 1.5693,             0.00011569,             0.00011569,             0.00011569
                     96,                0.52209,                0.33042,                 1.0142,                0.85005,                0.87199,                0.88777,                0.62965,                 1.1002,                0.74342,                 1.5843,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.52075,                0.32911,                 1.0173,                0.86257,                0.84609,                0.88111,                0.62329,                 1.0959,                0.76676,                 1.5787,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.50968,                0.32474,                 1.0123,                0.85521,                0.86019,                0.88604,                0.62815,                 1.1048,                0.75955,                 1.5947,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.50597,                0.31463,                  1.005,                0.85997,                0.86134,                0.88693,                0.62921,                 1.1037,                0.75731,                 1.5954,             4.9677e-05,             4.9677e-05,             4.9677e-05
