                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.4841,                 2.2569,                  1.547,                0.48114,                0.42525,                0.38774,                0.17734,                 1.8507,                 2.5033,                  1.913,             0.00055254,             0.00055254,             0.00055254
                      1,                    1.7,                 2.1151,                 1.7504,                0.27503,                 0.2631,                0.20202,                0.08207,                 2.0334,                 3.5148,                 2.1625,              0.0010972,              0.0010972,              0.0010972
                      2,                 1.7109,                 2.1129,                 1.7584,                0.42432,                  0.371,                0.31808,                0.14338,                 1.9928,                  5.712,                 2.1462,              0.0016309,              0.0016309,              0.0016309
                      3,                 1.6705,                 2.0713,                 1.7404,                0.50392,                0.43511,                0.42866,                0.22017,                 1.7467,                  2.296,                 1.8948,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.6168,                 1.9111,                 1.6917,                0.64295,                0.52129,                0.56868,                0.31789,                 1.6206,                 1.7448,                 1.7595,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.5474,                 1.8007,                 1.6399,                0.65194,                0.56608,                0.60641,                0.33209,                 1.6106,                 1.6796,                 1.7631,               0.001601,               0.001601,               0.001601
                      6,                  1.492,                 1.7157,                 1.6002,                0.71309,                 0.5157,                0.61134,                0.34849,                 1.5598,                 1.6867,                 1.6943,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.4484,                 1.5994,                 1.5409,                0.73133,                  0.599,                0.67767,                0.40513,                 1.4772,                 1.5608,                 1.6281,               0.001568,               0.001568,               0.001568
                      8,                 1.4253,                 1.5615,                 1.5284,                0.68187,                0.57997,                0.64807,                0.38662,                 1.4485,                 1.6496,                   1.62,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.3738,                 1.4997,                 1.4946,                0.75232,                0.66537,                0.72169,                0.42266,                 1.4345,                 1.3923,                 1.5692,               0.001535,               0.001535,               0.001535
                     10,                 1.3537,                 1.4589,                 1.4643,                0.71157,                0.68564,                0.72871,                0.44498,                 1.4046,                 1.3327,                 1.5422,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3372,                 1.4085,                 1.4693,                0.81519,                0.66407,                0.74651,                0.45673,                 1.3582,                 1.2413,                 1.5066,               0.001502,               0.001502,               0.001502
                     12,                 1.3186,                 1.3798,                 1.4395,                0.71881,                0.68226,                0.72966,                0.44009,                 1.3963,                 1.3435,                 1.5401,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.2843,                 1.3055,                 1.4289,                0.73861,                0.70109,                0.75418,                0.48843,                 1.2595,                 1.2309,                 1.4497,               0.001469,               0.001469,               0.001469
                     14,                 1.2896,                 1.3013,                 1.4276,                0.77307,                0.71694,                0.79016,                0.50826,                 1.2727,                 1.1264,                 1.4553,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.2561,                  1.262,                 1.3983,                0.83204,                0.71315,                 0.7999,                0.50963,                 1.2709,                 1.1519,                 1.4542,               0.001436,               0.001436,               0.001436
                     16,                 1.2385,                 1.2377,                 1.3958,                0.79179,                0.71731,                0.78537,                0.50063,                 1.2726,                 1.1205,                 1.4362,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.2026,                 1.2027,                 1.3704,                0.81388,                 0.7556,                 0.8134,                 0.5211,                 1.2437,                  1.071,                  1.412,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.2275,                 1.2073,                 1.3732,                0.78991,                0.75827,                0.81112,                0.52196,                 1.2403,                 1.0071,                 1.4021,              0.0013864,              0.0013864,              0.0013864
                     19,                 1.1904,                 1.1422,                 1.3552,                0.76796,                 0.7642,                0.80849,                0.53409,                 1.2164,                 1.0369,                 1.3798,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.1835,                 1.1407,                 1.3518,                0.79412,                 0.7482,                0.80284,                0.51261,                 1.2448,                 1.0579,                 1.4204,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.1659,                 1.1032,                 1.3411,                0.78207,                0.76198,                0.81753,                0.53191,                 1.2476,                 1.0074,                 1.4054,              0.0013369,              0.0013369,              0.0013369
                     22,                  1.159,                 1.0757,                 1.3291,                0.80973,                0.74967,                0.82212,                0.54429,                 1.2027,                 1.0044,                 1.3711,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.1349,                 1.0453,                 1.3157,                0.80051,                0.77777,                0.81555,                0.53277,                 1.2386,                 1.0215,                 1.3908,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.1466,                 1.0554,                 1.3163,                0.83051,                0.74015,                0.82447,                  0.542,                 1.2168,                0.99053,                 1.3629,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.1038,                0.99488,                 1.2859,                0.84756,                0.76523,                0.84592,                0.57239,                 1.1539,                0.92719,                 1.3396,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.1033,                 1.0076,                 1.2837,                0.80393,                0.80519,                0.84977,                0.57206,                 1.1849,                0.91707,                 1.3474,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.1182,                 1.0219,                 1.3021,                0.84418,                0.78295,                0.84328,                0.55216,                 1.2232,                0.92399,                 1.3732,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.0964,                0.98478,                 1.2861,                0.82846,                0.77243,                0.83853,                0.57018,                 1.1769,                0.92478,                 1.3505,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.0972,                0.96732,                 1.2707,                0.84672,                0.78313,                0.84973,                0.56817,                 1.1728,                0.89008,                 1.3452,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.0844,                0.94874,                 1.2641,                 0.8566,                0.77696,                0.84702,                 0.5776,                 1.1404,                0.89059,                 1.3206,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.0651,                0.94893,                  1.253,                0.84595,                0.78586,                0.85893,                0.59524,                  1.127,                0.86292,                 1.3018,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.0475,                0.90941,                  1.247,                0.82777,                0.81726,                0.85285,                0.57537,                 1.1762,                0.86672,                 1.3197,              0.0011554,              0.0011554,              0.0011554
                     33,                 1.0468,                0.92682,                 1.2502,                0.85694,                0.77964,                 0.8428,                0.56966,                 1.1423,                0.88116,                 1.3118,              0.0011389,              0.0011389,              0.0011389
                     34,                 1.0516,                0.90127,                 1.2515,                0.83488,                0.80991,                 0.8489,                0.58125,                 1.1289,                 0.8429,                 1.3019,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0411,                0.89144,                 1.2442,                0.82235,                0.81853,                 0.8571,                0.59224,                 1.1175,                0.86069,                  1.302,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0218,                0.87289,                 1.2307,                0.87747,                 0.7796,                0.85106,                0.58168,                 1.1244,                0.83996,                 1.2954,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0194,                0.86547,                 1.2258,                0.85546,                0.80536,                0.85672,                0.60112,                 1.0843,                0.84325,                 1.2708,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0051,                0.84804,                 1.2173,                0.87352,                0.78479,                0.86106,                0.60061,                 1.1043,                0.81612,                 1.2823,              0.0010564,              0.0010564,              0.0010564
                     39,                  1.003,                 0.8502,                 1.2026,                0.84239,                0.81226,                0.85887,                0.60049,                 1.1222,                 0.8155,                 1.2904,              0.0010399,              0.0010399,              0.0010399
                     40,                 0.9932,                  0.848,                 1.2143,                0.82775,                0.82835,                0.86728,                0.60793,                 1.1074,                0.81536,                  1.289,              0.0010234,              0.0010234,              0.0010234
                     41,                0.99142,                0.82425,                 1.2057,                0.81077,                0.85092,                0.86393,                  0.585,                 1.1434,                0.79431,                 1.3149,              0.0010069,              0.0010069,              0.0010069
                     42,                 0.9792,                0.80413,                 1.1969,                0.81905,                0.83305,                0.86564,                0.59847,                 1.1255,                0.79389,                  1.306,             0.00099036,             0.00099036,             0.00099036
                     43,                0.97358,                0.80729,                 1.1873,                0.85979,                 0.8316,                0.87348,                 0.6034,                 1.1328,                0.77671,                 1.3111,             0.00097386,             0.00097386,             0.00097386
                     44,                0.97583,                0.79442,                 1.1985,                0.85082,                0.84235,                0.87794,                0.60601,                 1.1396,                  0.771,                 1.3145,             0.00095736,             0.00095736,             0.00095736
                     45,                0.97232,                0.80967,                 1.1904,                0.84917,                0.84247,                0.86763,                0.60276,                 1.1184,                0.78159,                 1.2944,             0.00094085,             0.00094085,             0.00094085
                     46,                0.95278,                0.76867,                 1.1734,                0.83472,                0.84355,                0.87185,                0.60525,                 1.1266,                0.76527,                 1.3076,             0.00092435,             0.00092435,             0.00092435
                     47,                0.95569,                0.76651,                 1.1764,                0.86693,                 0.8339,                0.87706,                0.61106,                 1.1093,                0.75177,                  1.291,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.9315,                0.74396,                 1.1728,                0.83987,                0.85009,                0.88049,                0.61963,                 1.1079,                0.74306,                 1.2937,             0.00089134,             0.00089134,             0.00089134
