                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.42826,                0.36296,                 1.0235,                0.91008,                0.84737,                0.92343,                0.69779,                0.84975,                 0.9456,                 1.1298,               0.006634,               0.006634,               0.006634
                     36,                0.42959,                0.36849,                 1.0261,                0.91061,                0.85528,                0.92671,                0.70175,                0.84993,                0.87013,                 1.1213,               0.006535,               0.006535,               0.006535
                     37,                0.42612,                0.36177,                 1.0224,                0.90235,                0.86428,                0.92891,                0.70241,                0.85151,                0.83205,                 1.1308,               0.006436,               0.006436,               0.006436
                     38,                0.42657,                0.35711,                 1.0222,                 0.9145,                0.85063,                0.92999,                0.70047,                0.85985,                0.81241,                 1.1242,               0.006337,               0.006337,               0.006337
                     39,                0.42303,                0.35359,                  1.018,                 0.9135,                0.85509,                0.92992,                 0.7055,                0.84381,                 0.8186,                 1.1125,               0.006238,               0.006238,               0.006238
                     40,                0.41935,                 0.3473,                 1.0171,                0.90804,                0.86386,                0.92818,                0.70548,                0.84653,                0.74598,                 1.1188,               0.006139,               0.006139,               0.006139
                     41,                0.41992,                0.34373,                 1.0152,                0.91443,                0.86527,                 0.9279,                0.70773,                0.84618,                0.77879,                 1.1065,                0.00604,                0.00604,                0.00604
                     42,                 0.4118,                0.34311,                  1.013,                0.90584,                0.86846,                0.92938,                0.70403,                0.86628,                0.74241,                 1.1246,               0.005941,               0.005941,               0.005941
                     43,                0.41071,                0.33708,                  1.011,                0.92123,                0.85991,                0.92987,                0.70833,                 0.8553,                 0.7105,                 1.1167,               0.005842,               0.005842,               0.005842
                     44,                0.40692,                 0.3323,                 1.0102,                0.92007,                 0.8711,                0.93148,                0.71248,                0.85657,                 0.7025,                  1.121,               0.005743,               0.005743,               0.005743
                     45,                 0.4101,                0.33214,                 1.0089,                0.91067,                0.87287,                0.93558,                0.71413,                0.85234,                 0.6749,                 1.1156,               0.005644,               0.005644,               0.005644
                     46,                0.40461,                0.32688,                 1.0064,                0.91618,                0.86319,                0.93571,                0.71837,                 0.8402,                0.67404,                 1.1047,               0.005545,               0.005545,               0.005545
                     47,                0.41058,                0.32944,                 1.0091,                0.91383,                0.86319,                0.93032,                0.71198,                0.83996,                0.66047,                 1.1036,               0.005446,               0.005446,               0.005446
                     48,                0.40355,                0.32304,                 1.0034,                0.91634,                0.86691,                  0.936,                 0.7174,                0.83719,                0.69864,                 1.1078,               0.005347,               0.005347,               0.005347
                     49,                0.40143,                0.32309,                 1.0056,                 0.9125,                0.87483,                0.93552,                0.71838,                 0.8451,                0.69091,                  1.113,               0.005248,               0.005248,               0.005248
                     50,                0.40013,                0.31937,                 1.0026,                0.91133,                0.87526,                0.93534,                0.71909,                0.85047,                0.70828,                 1.1163,               0.005149,               0.005149,               0.005149
                     51,                0.39637,                0.31391,                0.99688,                0.92203,                0.87017,                0.93648,                0.71803,                0.85816,                0.76229,                 1.1236,                0.00505,                0.00505,                0.00505
                     52,                 0.3976,                0.31011,                 1.0004,                0.91558,                0.87305,                0.93168,                 0.7141,                0.85998,                0.76854,                 1.1232,               0.004951,               0.004951,               0.004951
                     53,                0.38137,                0.29286,                0.98813,                0.90959,                0.88011,                0.93502,                0.71698,                0.85839,                0.76296,                 1.1176,               0.004852,               0.004852,               0.004852
                     54,                  0.358,                0.26563,                0.97365,                0.92861,                0.86645,                0.93443,                0.71905,                0.86066,                0.70116,                 1.1256,               0.004753,               0.004753,               0.004753
                     55,                0.38426,                0.29476,                0.98985,                0.93214,                0.86785,                0.93594,                0.71863,                 0.8588,                0.67083,                 1.1226,               0.004654,               0.004654,               0.004654
                     56,                0.37787,                0.29297,                0.98532,                0.93117,                0.86875,                 0.9363,                0.72021,                0.85577,                0.69966,                 1.1182,               0.004555,               0.004555,               0.004555
                     57,                0.37808,                0.29555,                0.98781,                0.92747,                0.86276,                0.93353,                0.72099,                0.85867,                0.71988,                 1.1214,               0.004456,               0.004456,               0.004456
                     58,                0.37448,                0.28965,                0.98464,                0.92671,                0.87669,                0.93863,                0.72278,                0.85835,                0.67063,                 1.1179,               0.004357,               0.004357,               0.004357
                     59,                0.37828,                0.28757,                0.98579,                0.92806,                0.87645,                0.93864,                 0.7232,                0.85995,                0.66671,                 1.1149,               0.004258,               0.004258,               0.004258
