                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0745,                0.97268,                 1.3037,                0.80856,                 0.8012,                0.84076,                0.54897,                 1.1907,                0.93391,                 1.4299,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.0696,                 0.9697,                 1.3175,                 0.8093,                0.80978,                0.84101,                0.55983,                 1.1954,                 0.9169,                 1.4557,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.0793,                 0.9665,                 1.3224,                0.83916,                0.79169,                0.83829,                 0.5585,                 1.2059,                0.93483,                 1.4543,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.0653,                0.96452,                 1.3092,                0.82745,                0.76287,                0.82522,                 0.5444,                 1.2061,                 1.0396,                 1.4641,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.0624,                0.96772,                 1.3091,                0.82616,                0.81488,                0.85414,                0.56534,                 1.1961,                0.91926,                 1.4621,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.0537,                0.95115,                 1.3051,                0.86467,                0.78387,                0.85067,                0.56627,                 1.1921,                0.89979,                 1.4372,              0.0010399,              0.0010399,              0.0010399
                     40,                 1.0409,                0.90871,                 1.2909,                0.85669,                0.79554,                0.85941,                 0.5795,                 1.1652,                0.88875,                 1.4283,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.0391,                0.91565,                 1.2915,                0.81177,                0.82106,                 0.8526,                0.56891,                 1.1846,                0.88836,                 1.4466,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.0279,                0.88586,                 1.2768,                0.80133,                0.82201,                0.84377,                0.56967,                  1.139,                0.86513,                 1.4115,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.0119,                0.89556,                 1.2684,                0.85802,                0.81464,                0.85567,                0.57315,                  1.157,                0.84373,                 1.4231,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.0279,                0.89217,                 1.2824,                0.85893,                0.81076,                0.86179,                0.57881,                 1.1438,                0.83929,                 1.4041,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.0127,                0.89424,                 1.2654,                0.84632,                0.83173,                0.87085,                0.58563,                 1.1541,                0.85747,                 1.4169,             0.00094085,             0.00094085,             0.00094085
                     46,                0.99613,                0.86914,                 1.2556,                0.87462,                0.80693,                0.86125,                0.58049,                 1.1743,                 0.8609,                 1.4285,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.0079,                0.86641,                 1.2563,                0.84993,                0.80203,                0.85868,                 0.5698,                 1.1802,                0.87342,                 1.4383,             0.00090785,             0.00090785,             0.00090785
                     48,                0.98127,                0.83215,                 1.2474,                0.87968,                0.80974,                0.87165,                0.59423,                 1.1576,                0.82711,                 1.4172,             0.00089134,             0.00089134,             0.00089134
